cidade,lat,lon,regiao
Joaíma,-16.6522,-41.0229,Jequitinhonha
Joanésia,-19.1729,-42.6775,Vale do Rio Doce
João Monlevade,-19.8126,-43.1735,Metropolitana de Belo Horizonte
João Pinheiro,-17.7398,-46.1715,Noroeste de Minas
Joaquim Felício,-17.758,-44.1643,Central Mineira
Jordânia,-15.9009,-40.1841,Jequitinhonha
José Gonçalves de Minas,-16.9053,-42.6014,Jequitinhonha
José Raydan,-18.2195,-42.4946,Vale do Rio Doce
Josenópolis,-16.5417,-42.5151,Norte de Minas
Juatuba,-19.9448,-44.3451,Metropolitana de Belo Horizonte
Juiz de Fora,-21.7595,-43.3398,Zona da Mata
Juramento,-16.8473,-43.5865,Norte de Minas
Juruaia,-21.2493,-46.5735,Sul/Sudoeste de Minas
Juvenília,-14.2662,-44.1597,Norte de Minas
Ladainha,-17.6279,-41.7488,Vale do Mucuri
Lagamar,-18.1759,-46.8063,Noroeste de Minas
Lagoa da Prata,-20.0237,-45.5401,Central Mineira
Lagoa dos Patos,-16.978,-44.5754,Norte de Minas
Lagoa Dourada,-20.9139,-44.0797,Campo das Vertentes
Lagoa Formosa,-18.7715,-46.4012,Triângulo Mineiro/Alto Paranaíba
Lagoa Grande,-17.8323,-46.5165,Noroeste de Minas
Lagoa Santa,-19.6397,-43.8932,Metropolitana de Belo Horizonte
Lajinha,-20.1539,-41.6228,Zona da Mata
Lambari,-21.9671,-45.3498,Sul/Sudoeste de Minas
Lamim,-20.79,-43.4706,Zona da Mata
Laranjal,-21.3715,-42.4732,Zona da Mata
Lassance,-17.887,-44.5735,Norte de Minas
Lavras,-21.248,-45.0009,Campo das Vertentes
Leandro Ferreira,-19.7193,-45.0279,Central Mineira
Leme do Prado,-17.0793,-42.6936,Jequitinhonha
Leopoldina,-21.5296,-42.6421,Zona da Mata
Liberdade,-22.0275,-44.3208,Sul/Sudoeste de Minas
Lima Duarte,-21.8386,-43.7934,Zona da Mata
Limeira do Oeste,-19.5512,-50.5815,Triângulo Mineiro/Alto Paranaíba
Lontra,-15.9013,-44.306,Norte de Minas
Luisburgo,-20.4468,-42.0976,Zona da Mata
